"hfpxzc href","qBF1Pd","fontBodyMedium","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","EgL07d src","R8c4Qb","W4Efsd 5","W4Efsd 6","MW4etd","UY7F9","W4Efsd 7","W4Efsd 8","lcr4fd href","EgL07d src 2","R8c4Qb 2","W4Efsd 9"
"https://www.google.es/maps/place/CIS+College+Choueifat/data=!4m7!3m6!1s0x151f19de549a481b:0x63d86dae828e0987!8m2!3d33.8212261!4d35.5057565!16s%2Fg%2F11k3hlvdy7!19sChIJG0iaVN4ZHxURhwmOgq5t2GM?authuser=0&hl=es&rclk=1","CIS College Choueifat","No hay reseñas","·","Vocational college","·","Barakat Street, El Barakat","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto","","","·","+961 70 734 830","http://www.ciscollege.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 17:00"
"https://www.google.es/maps/place/CIT/data=!4m7!3m6!1s0x151f163d97db3293:0xfe8ff4cbb48d92c6!8m2!3d33.8933599!4d35.5513072!16s%2Fg%2F12ht2d65x!19sChIJkzLblz0WHxURxpKNtMv0j_4?authuser=0&hl=es&rclk=1","CIT","","·","Universidad","·","VHV2+8GV","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","","4,1","(25)","+961 1 257 700","","http://www.cit-liban.edu/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar",""
"https://www.google.es/maps/place/Our+Lady+of+Annunciation+College/data=!4m7!3m6!1s0x151f19e319a5eab3:0x30f1658447682f36!8m2!3d33.8143952!4d35.5403467!16s%2Fg%2F11rnf9y85j!19sChIJs-qlGeMZHxURNi9oR4Rl8TA?authuser=0&hl=es&rclk=1","Our Lady of Annunciation College","","·","Instituto de secundaria","·","RG7R+Q4","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","1,0","(1)","","","","","",""
"https://www.google.es/maps/place/R%C3%A9sidence+USJ/data=!4m7!3m6!1s0x151f170ce9944fb9:0xeef7917d02b30609!8m2!3d33.8803494!4d35.5139601!16s%2Fg%2F11sx4c0qmv!19sChIJuU-U6QwXHxURCQazAn2R9-4?authuser=0&hl=es&rclk=1","Résidence USJ","No hay reseñas","·","Colegio mayor","·","Berytech Bldg., 5th Flr. Damascus Road, Mathaf-, بيروت،","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/College+Patriarcal+Raboueh/data=!4m7!3m6!1s0x151f3f1672f6b1ed:0x8767be2499cba73b!8m2!3d33.9120625!4d35.6125625!16s%2Fg%2F11ghnff219!19sChIJ7bH2chY_HxURO6fLmSS-Z4c?authuser=0&hl=es&rclk=1","College Patriarcal Raboueh","","·","Escuela universitaria","·","·","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","+961 4 405 455","Cierra pronto","5,0","(3)","","","http://www.cpr.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ 16:00 ⋅ Apertura: 6:30 (vie)"
"https://www.google.es/maps/place/AlHana+Building/data=!4m7!3m6!1s0x151f17bf1de51b81:0xe55a532bdf006764!8m2!3d33.8525151!4d35.5257177!16s%2Fg%2F11jg3tpny4!19sChIJgRvlHb8XHxURZGcA3ytTWuU?authuser=0&hl=es&rclk=1","AlHana Building","No hay reseñas","·","Colegio mayor","·","VG3G+274, Unnamed Road","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/Elite+Scientific+College/data=!4m7!3m6!1s0x151f19d90898b0cd:0xb43df2c457d7b82c!8m2!3d33.8472579!4d35.5080069!16s%2Fg%2F11fycfp573!19sChIJzbCYCNkZHxURLLjXV8TyPbQ?authuser=0&hl=es&rclk=1","Elite Scientific College","","·","Escuela","·","RGW5+W62","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","3,0","(1)","·","+961 70 901 312","","","",""
"https://www.google.es/maps/place/My+New+College+MNC+%D9%85%D8%A4%D8%B3%D8%B3%D8%A7%D8%AA+%D8%A3%D9%85%D9%87%D8%B2+%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x151f19b646f472c9:0x2ceaece1e83290fe!8m2!3d33.8272379!4d35.5146722!16s%2Fg%2F11csr_mcyb!19sChIJyXL0RrYZHxUR_pAy6OHs6iw?authuser=0&hl=es&rclk=1","My New College MNC مؤسسات أمهز التربوية","","·","Escuela","·","·","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","+961 5 485 050","Cerrado","4,0","(25)","","","http://facebook.com/amhazschools","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Apertura: 6:30 (vie)"
"https://www.google.es/maps/place/Coll%C3%A8ge+du+Sacr%C3%A9+Coeur/data=!4m7!3m6!1s0x151f16fb2d14fc45:0xd4e20570a97da8fd!8m2!3d33.8951669!4d35.5109953!16s%2Fm%2F0cpdz95!19sChIJRfwULfsWHxUR_ah9qXAF4tQ?authuser=0&hl=es&rclk=1","Collège du Sacré Coeur","","·","Escuela católica","·","VGW6+399, Gouraud Street","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Cerrado","3,8","(53)","·","+961 1 445 600","http://sacrecoeur-gemmayze.org/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Apertura: 7:00 (vie)"
"https://www.google.es/maps/place/Ibn+Sina+College+-+University/data=!4m7!3m6!1s0x151f171c2bcbf535:0xecd6576144202833!8m2!3d33.8876249!4d35.5048527!16s%2Fg%2F1tgn6zw9!19sChIJNfXLKxwXHxURMyggRGFX1uw?authuser=0&hl=es&rclk=1","Ibn Sina College - University","","·","Escuela","·","VGQ3+2WX","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto","2,8","(17)","·","+961 3 862 953","https://www.ibnsinaedu.com/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 2:00"
"https://www.google.es/maps/place/CIS+College+Tahwita/data=!4m7!3m6!1s0x151f19318f2643e5:0x3ee53c1f21a76bd9!8m2!3d33.833913!4d35.5080321!16s%2Fg%2F11hzxdt3d1!19sChIJ5UMmjzEZHxUR2WunIR885T4?authuser=0&hl=es&rclk=1","CIS College Tahwita","No hay reseñas","·","Escuela universitaria","·","Hilal Street Facing Hilal Station","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","·","Abierto","","","·","+961 1 474 770","http://www.ciscollege.edu.lb/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Cierra a las 18:00"
"https://www.google.es/maps/place/Phoenicia+College/data=!4m7!3m6!1s0x151f3e14e932589b:0xdd66b40d1d0c196d!8m2!3d33.9188982!4d35.5859998!16s%2Fg%2F11ggpz4f_q!19sChIJm1gy6RQ-HxURbRkMHQ20Zt0?authuser=0&hl=es&rclk=1","Phoenicia College","","·","Escuela","·","·","https://www.gstatic.com/images/icons/material/system_gm/2x/public_gm_blue_24dp.png","Sitio web","+961 70 404 925","Cerrado","5,0","(2)","","","http://phoenicia-college.business.site/","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","⋅ Apertura: 8:00 (vie)"
"https://www.google.es/maps/place/College+Saint+Georges+Zalka/data=!4m7!3m6!1s0x151f3de4f1889f09:0x4f02b0a17634d68d!8m2!3d33.8984142!4d35.5790461!16s%2Fg%2F11c1p7tztl!19sChIJCZ-I8eQ9HxURjdY0dqGwAk8?authuser=0&hl=es&rclk=1","College Saint Georges Zalka","","·","Escuela","·","El-sayde street","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Cerrado","⋅ Apertura: 7:30 (vie)","4,2","(23)","·","·","","","","+961 1 893 860"
"https://www.google.es/maps/place/Bourj+International+College/data=!4m7!3m6!1s0x151f19c71e1f82b5:0x32f5a7729ecbed8e!8m2!3d33.8334755!4d35.5074284!16s%2Fm%2F0cpb1bl!19sChIJtYIfHscZHxURju3LnnKn9TI?authuser=0&hl=es&rclk=1","Bourj International College","","·","Instituto de secundaria","·","Borj El Brajneh قضاء بعبدا Mount Lebanon Governorate","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","Cerrado","⋅ Apertura: 7:40 (vie)","3,5","(31)","·","·","","","","+961 1 472 324"
"https://www.google.es/maps/place/Khoder+house/data=!4m7!3m6!1s0x151f172e10ba6bab:0xda5920b3c1726e6f!8m2!3d33.8906992!4d35.5140909!16s%2Fg%2F11qgzfdhhh!19sChIJq2u6EC4XHxURb25ywbMgWdo?authuser=0&hl=es&rclk=1","Khoder house","No hay reseñas","·","Escuela universitaria","·","VGR7+7JG","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","","","","","","","",""
"https://www.google.es/maps/place/College+notre+dame+de+la+delivrance+MSA/data=!4m7!3m6!1s0x151f1954b5b83d0d:0x42fc3f000c686d8e!8m2!3d33.8285442!4d35.533494!16s%2Fg%2F11h39q454j!19sChIJDT24tVQZHxURjm1oDAA__EI?authuser=0&hl=es&rclk=1","College notre dame de la delivrance MSA","","·","Escuela","·","RGHM+C99","https://maps.gstatic.com/consumer/images/icons/2x/ic_directions_gm_blue_24px.png","Cómo llegar","","","5,0","(1)","","","","","",""
